Designator,Mid X,Mid Y,Rotation,Layer
C1,89.0524,-39.196,270.0,top
C2,76.3524,-44.196,90.0,top
C3,60.6552,-86.3092,90.0,top
D1,66.3448,-50.027217,270.0,top
D2,66.2432,-61.152417,270.0,top
D3,66.2432,-72.125218,270.0,top
J2,59.4868,-55.2196,0.0,top
J3,87.9606,-86.0802,270.0,top
J4,61.7978,-39.39,0.0,top
J6,95.75,-41.85,0.0,top
R1,68.2752,-46.5328,180.0,top
R11,92.25,-50.87,90.0,top
R12,92.25,-61.56,90.0,top
R13,92.25,-72.12,90.0,top
R2,69.6468,-52.1208,90.0,top
R3,68.2752,-57.8612,180.0,top
R4,69.5452,-63.246,90.0,top
R5,68.1736,-68.681601,180.0,top
R6,69.6976,-74.168001,90.0,top
R7,99.25,-49.24,90.0,top
R8,99.25,-59.8,90.0,top
R9,99.25,-70.49,90.0,top
U1,78.486,-52.578,0.0,top
U2,81.4324,-39.116,270.0,top
